ticker,cnpj,fund_name,provider,underlying_index,segment,situacao,is_active,dt_cancel,gestor,taxa_adm,blackrock_product_id,blackrock_csv_url
5PRE11,64538158000100,IT NOW TEVA ITBR PRÉ 5 ANOS FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,Itaú (It Now),ITBR Pré 5 Anos,fixed_income_br,Em Funcionamento Normal,True,,,,,
ACWI11,38542889000101,TREND ETF BLOOMBERG ALL COUNTRIES CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,XP Asset (Trend),Bloomberg All Countries (ACWI),equities_intl,Em Funcionamento Normal,True,,,,,
AGRI11,45081470000165,BB ETF IAGRO-FFS B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,IAgro FFS B3,commodities,Em Funcionamento Normal,True,,,,,
ALUG11,42280328000159,INVESTO MSCI US REAL ESTATE ETF CLASSE DE ÍNDICE - IE - RESPONSABILIDADE LIMITADA,Investo,MSCI US Real Estate,real_estate,Em Funcionamento Normal,True,,,,,
AREA11,62579973000184,BTG PACTUAL TEVA AUVP RENDA AUTOMÁTICA ITBR IPCA RENDIMENTO FUNDO DE ÍNDICE,BTG Pactual,TEVA AUVP ITBR IPCA Rendimento,fixed_income_br,Em Funcionamento Normal,True,,,,,
ARGE11,61604144000141,INVESTO ARGENTINA FUNDO DE ÍNDICE,Investo,MSCI Argentina,equities_intl,Em Funcionamento Normal,True,,,,,
AUPO11,63905124000136,BTG PACTUAL TEVA AUVP ITBR LIQUIDEZ FUNDO DE ÍNDICE,BTG Pactual,TEVA AUVP ITBR Liquidez,fixed_income_br,Em Funcionamento Normal,True,,,,,
AURO11,62211601000109,BUENA VISTA NEOS GOLD HIGH INCOME INDEX FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITADA,Buena Vista,Neos Gold High Income Index,commodities,Em Funcionamento Normal,True,,,,,
AUVP11,61273759000132,BTG PACTUAL TEVA AUVP AÇÕES FUNDAMENTOS FUNDO DE ÍNDICE,BTG Pactual,TEVA AUVP Ações Fundamentos,equities_br,Em Funcionamento Normal,True,,,,,
B3BR11,56211321000190,IT NOW IBOVESPA B3 BR+ FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Itaú (It Now),Ibovespa B3 BR+,equities_br,Em Funcionamento Normal,True,,,,,
B5MB11,34081072000122,FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IMA-B5+ - RESP LIMITAD,Bradesco Asset,IMA-B 5+,fixed_income_br,Em Funcionamento Normal,True,,,,,
B5P211,38354864000184,IT NOW IMA-B5 P2 FUNDO DE INDICE RESPONSABILIDADE LIMITADA,Itaú (It Now),IMA-B5 P2 (IPCA curto),fixed_income_br,Em Funcionamento Normal,True,,,,,
BBOI11,46610422000180,BB ETF ÍNDICE FUTURO DE BOI GORDO B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,Índice Futuro Boi Gordo B3,commodities,Em Funcionamento Normal,True,,,,,
BBOV11,34606480000150,BB ETF IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,Ibovespa,equities_br,Em Funcionamento Normal,True,,,,,
BBSD11,17817528000150,BB ETF S&P DIVIDENDOS BRASIL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,S&P Dividendos Brasil,equities_br,Em Funcionamento Normal,True,,,,,
